training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
10200,S96,paper1_deep_hgrl_ugv_assisted,0.01175620499998331,0.009355567515740404,0.006997939017310273,0.07484343909462175,1.1946104615926743,1.4369239956140518,1.0,0.0,cuda
10300,S84,paper1_deep_hgrl_ugv_assisted,0.0066969734616577625,0.004173050168500225,0.006655568906284159,0.04710823980215928,1.2503406256437302,1.3963436633348465,1.0,0.0,cuda
10400,S85,paper1_deep_hgrl_ugv_assisted,0.00458908686414361,0.002400145960109512,0.005617439550405834,0.0338906942942532,1.213756412267685,1.4343082457780838,1.0,0.0,cuda
10500,S4,paper1_deep_hgrl_ugv_assisted,0.054121509194374084,0.050580765090998625,0.012556245353152917,0.2109566040235224,1.2874466478824615,1.433174416422844,1.0,0.0,cuda
10600,S86,paper1_deep_hgrl_ugv_assisted,0.007320942357182503,0.002240369388346153,0.012049370525346603,0.03416437445346432,1.2652576193213463,1.5636393204331398,1.0,0.0,cuda
10700,S63,paper1_deep_hgrl_ugv_assisted,0.03920924291014671,0.03695108362535393,0.007173482488724403,0.09699103624862926,1.3387739807367325,1.5245229005813599,1.0,0.0,cuda
10800,S54,paper1_deep_hgrl_ugv_assisted,0.0013287125620990992,7.450580152834618e-09,0.002952688836430184,4.792675074554044e-07,1.2873181104660034,1.50365249812603,1.0,0.0,cuda
10900,S66,paper1_deep_hgrl_ugv_assisted,0.0036228224635124207,5.587930473893721e-08,0.008050660031585721,3.0258252106779153e-06,1.153009094297886,1.4033393189311028,1.0,0.0,cuda
11000,S21,paper1_deep_hgrl_ugv_assisted,0.012212935835123062,0.005126717519486235,0.017276786784350406,0.06883355620690151,1.212193176150322,1.3532671183347702,1.0,0.0,cuda
11100,S37,paper1_deep_hgrl_ugv_assisted,0.002266455441713333,3.7399974459617624e-06,0.0050318691596942244,0.00016255801789983394,1.233321875333786,1.34791399538517,1.0,0.0,cuda
